ACCOUNT NUMBER,SITE NUMBER,LEGAL NAME,DOING BUSINESS AS NAME,ADDRESS,CITY,STATE,ZIP CODE,WARD,PRECINCT,POLICE DISTRICT,LICENSE CODE,LICENSE DESCRIPTION,LICENSE NUMBER,APPLICATION TYPE,PAYMENT DATE,LICENSE TERM START DATE,LICENSE TERM EXPIRATION DATE,DATE ISSUED,LICENSE STATUS,LATITUDE,LONGITUDE,LOCATION
28445,1,RITA'S PLACE INC.,RITA'S PLACE INC.,5414 W FULLERTON AVE 1ST,CHICAGO,IL,60639,31,19,25,1470,Tavern,17935,RENEW,03/02/2017,01/16/2017,01/15/2019,03/03/2017,AAI,41.924144466,-87.761685537,"(41.92414446631206, -87.76168553742855)"
304267,1,FEPH-KIM LLC,Polish and Pour,1244 N WELLS ST,CHICAGO,IL,60610,2,30,18,1475,Consumption on Premises - Incidental Activity,2064702,RENEW,02/08/2018,02/16/2018,02/15/2020,02/09/2018,AAI,41.905176369,-87.634673172,"(41.90517636869214, -87.63467317156037)"
32882,1,"BLONDIE'S LOUNGE, LTD.",BLONDIE'S LOUNGE LTD,4958 W DIVERSEY AVE 1ST,CHICAGO,IL,60639,31,50,25,1470,Tavern,35589,RENEW,01/14/2017,01/16/2017,01/15/2019,01/17/2017,AAI,41.931578736,-87.751386072,"(41.931578736230854, -87.75138607235448)"
52875,2,DELBA INC,BLUE CHICAGO,536 N CLARK ST 1ST,CHICAGO,IL,60610,42,46,18,1472,Music and Dance,25566,RENEW,01/22/2018,02/16/2018,02/15/2020,01/23/2018,AAI,41.891887674,-87.631280776,"(41.89188767439628, -87.63128077636969)"
404342,1,VENUS CABARET LLC,VENUS DINNER THEATER,3741 N SOUTHPORT AVE 1ST,CHICAGO,IL,60613,44,25,19,1050,Public Place of Amusement,2451780,ISSUE,04/07/2016,04/04/2018,04/15/2020,04/04/2018,AAI,41.950075931,-87.663953259,"(41.95007593145458, -87.66395325868989)"
386661,1,SOHO HOUSE CHICAGO LLC,SOHO HOUSE CHICAGO,113-125 N GREEN ST BSMT - 6TH,CHICAGO,IL,60607,27,1,12,1475,Consumption on Premises - Incidental Activity,2307949,RENEW,04/25/2018,06/16/2018,07/15/2020,04/25/2018,AAI,41.883557098,-87.648432396,"(41.883557097965046, -87.64843239611488)"
421949,1,"XSCAPE LEISURE, LLC",ESCAPE REALITY,158 W ERIE ST 1-3,CHICAGO,IL,60654,42,46,18,1050,Public Place of Amusement,2560317,ISSUE,10/03/2017,10/19/2018,07/15/2021,10/19/2018,AAI,41.894108245,-87.633532208,"(41.89410824547626, -87.63353220823814)"
351150,3,"ARAMARK SPORTS AND ENTERTAINMENT SERVICES, LLC",ARAMARK - SOLDIER FIELD,1410 S MUSEUM CAMPUS DR,CHICAGO,IL,60605,4,18,1,1481,Caterer's Liquor License,2262540,RENEW,10/05/2018,10/16/2018,10/15/2020,12/21/2018,AAI,41.862628294,-87.615031094,"(41.862628294037634, -87.61503109411332)"
3204,2,"SHRIMP SHOP, INC.",PASTA D'ARTE,6305-6311 N MILWAUKEE AVE 1 AND BSMT,CHICAGO,IL,60646,39,51,16,1475,Consumption on Premises - Incidental Activity,2349135,RENEW,10/17/2018,11/16/2018,11/15/2020,10/18/2018,AAI,41.995344034,-87.785796196,"(41.99534403364736, -87.78579619614099)"
328708,39,"THE BEVERAGE SHOPPE, LLC","THE BEVERAGE SHOPPE, LLC",6401 S STONY ISLAND AVE,CHICAGO,IL,60637,5,25,3,1476,Special Event Liquor,2608311,ISSUE,06/20/2018,06/20/2018,07/07/2018,06/20/2018,AAI,41.778681963,-87.586270976,"(41.77868196282344, -87.58627097635876)"
381392,1,1001 WINCHESTER LLC,THE WINCHESTER,1001 N WINCHESTER AVE 1 & 2,CHICAGO,IL,60622,1,4,12,1477,Outdoor Patio,2391216,ISSUE,05/25/2016,07/22/2016,08/15/2018,07/22/2016,AAI,41.899664185,-87.675786548,"(41.8996641853712, -87.67578654766524)"
387915,1,LOEWS CHICAGO OPERATING COMPANY LLC,THE LOEWS CHICAGO,455 N PARK DR 1-52,CHICAGO,IL,60611,42,54,18,1475,Consumption on Premises - Incidental Activity,2314644,RENEW,02/09/2017,03/16/2017,11/15/2018,02/10/2017,AAI,41.890219142,-87.619458663,"(41.89021914224843, -87.6194586634157)"
6008,1,"FAR-FAR RESTAURANT, INC.",EL G-FE,4820 S CICERO AVE 1,CHICAGO,IL,60638,22,8,8,1475,Consumption on Premises - Incidental Activity,12142,RENEW,01/09/2018,01/16/2018,01/15/2020,01/09/2018,AAI,41.805139326,-87.743242476,"(41.805139326234766, -87.7432424761978)"
20875,1,"CHAISE LOUNGE, INC.",DAVENPORT'S,1383 N MILWAUKEE AVE 1ST,CHICAGO,IL,60622,1,21,14,1470,Tavern,67921,RENEW,10/16/2018,11/16/2018,11/15/2020,10/17/2018,AAI,41.907038391,-87.672015121,"(41.90703839117248, -87.67201512117582)"
372358,1,"SUNSTONE SAINT CLAIR LESSEE, INC.",HYATT CENTRIC CHICAGO MAGNIFICENT MILE,633 N ST CLAIR ST 1-17,CHICAGO,IL,60611,2,35,18,1475,Consumption on Premises - Incidental Activity,2153690,RENEW,05/25/2018,06/16/2018,06/15/2020,05/29/2018,AAI,41.893475358,-87.622574674,"(41.89347535770077, -87.6225746735784)"
14590,1,MATSUI-JONES CORPORATION,FULL SHILLING,3724-3726 N CLARK ST,CHICAGO,IL,60613,44,50,19,1472,Music and Dance,32815,RENEW,06/07/2016,06/16/2016,06/15/2018,06/13/2016,AAI,41.949706195,-87.658701413,"(41.94970619451691, -87.65870141348526)"
6781,14,"SPECTRUM SPORTS BAR & GRILL, INC.",SPECTRUM SPORTS BAR & GRILL,333 S HALSTED ST,CHICAGO,IL,60661,34,45,12,1476,Special Event Liquor,2621737,ISSUE,08/24/2018,08/24/2018,08/26/2018,08/24/2018,AAI,41.876953377,-87.647063465,"(41.876953377219586, -87.64706346453356)"
360998,1,"OS PACIFIC, LLC",ROY'S,720 N STATE ST,CHICAGO,IL,60654,42,56,18,1477,Outdoor Patio,2088704,RENEW,08/08/2017,08/16/2017,08/15/2019,08/09/2017,AAI,41.895636272,-87.628320322,"(41.8956362719614, -87.62832032238215)"
222101,2,"OHIO EAST HOTEL, LLC",ACME HOTEL COMPANY/THE BERKSHIRE,15 E OHIO ST 1 & 2,CHICAGO,IL,60611,42,22,18,1475,Consumption on Premises - Incidental Activity,2245209,RENEW,05/11/2017,03/16/2017,03/15/2019,05/11/2017,AAI,41.892370924,-87.627415892,"(41.89237092419156, -87.62741589201816)"
4231,1,COSMOPOLITAN CONTINENTAL CAFE INC.,Le Jardin,5532 W BELMONT AVE 1,CHICAGO,IL,60641,30,6,16,1470,Tavern,72502,RENEW,08/16/2017,08/16/2017,08/15/2019,08/16/2017,AAI,41.938697817,-87.765411137,"(41.93869781741385, -87.76541113658556)"
379080,1,CLARK LOFT LLC,BEATRIX,519 N CLARK ST 1,CHICAGO,IL,60654,42,22,18,1481,Caterer's Liquor License,2234218,RENEW,05/19/2017,06/16/2017,06/15/2019,05/19/2017,AAI,41.891516039,-87.63097642,"(41.89151603889098, -87.63097642048605)"
3219,1,"WISE FOOLS PUB, LTD.",HOOK AND LADDER BAR,2268-2270 N LINCOLN AVE,CHICAGO,IL,60614,43,7,18,1470,Tavern,4369,RENEW,04/11/2017,04/16/2017,04/15/2019,04/17/2017,AAI,41.923331186,-87.646017974,"(41.92333118597867, -87.64601797432722)"
250547,1,"MUSIC AND DANCE THEATER CHICAGO, INC.",MUSIC AND DANCE THEATER CHICAGO,205 E RANDOLPH ST,CHICAGO,IL,60601,42,44,1,1050,Public Place of Amusement,1383986,RENEW,07/27/2018,09/16/2018,09/15/2020,07/30/2018,AAI,41.884166968,-87.622113294,"(41.884166968108076, -87.6221132937816)"
8970,91,"COMPASS GROUP USA, INC.",EUREST DINING SERVICES AT CAFE 300,300 N LA SALLE ST 1,CHICAGO,IL,60654,42,9,18,1481,Caterer's Liquor License,1964929,RENEW,03/14/2016,04/16/2016,04/15/2018,03/16/2016,AAI,41.88752864,-87.632646837,"(41.887528639656935, -87.63264683652446)"
6781,1,"SPECTRUM SPORTS BAR & GRILL, INC.",SPECTRUM SPORTS BAR & GRILL,233 S HALSTED ST,CHICAGO,IL,60661,34,58,12,1470,Tavern,15889,RENEW,05/08/2017,05/16/2017,05/15/2019,05/08/2017,AAI,41.878172572,-87.647099736,"(41.878172571606136, -87.64709973557522)"
401045,1,"ACCE COMPANY, INC.",ATE MUSIC HOUSE,610-620 W 24TH PL 1,CHICAGO,IL,60616,11,18,9,1475,Consumption on Premises - Incidental Activity,2423675,ISSUE,12/11/2017,05/22/2018,10/15/2020,05/22/2018,AAI,41.848223052,-87.642119194,"(41.84822305216315, -87.64211919409566)"
15981,1,"SHE-NANNIGAN'S GREEN STREET, INCORPORATED",SHE-NANNIGAN'S HOUSE OF BEERS,16 W DIVISION ST 1,CHICAGO,IL,60610,2,38,18,1471,Late Hour,40582,RENEW,01/26/2018,02/16/2018,02/15/2020,01/29/2018,AAI,41.904040349,-87.629335459,"(41.9040403492842, -87.62933545937574)"
26059,1,"TREVINO'S LIQUORS, INC.",TREVINO'S LIQUORS INC,4125 W 31ST ST  1ST F,CHICAGO,IL,60623,22,16,10,1470,Tavern,9276,RENEW,08/02/2016,08/16/2016,08/15/2018,09/13/2016,AAI,41.836730827,-87.727930866,"(41.83673082682839, -87.72793086609656)"
410695,1,KB V LLC,KUMA'S CORNER,854-856 W FULTON MARKET  1,CHICAGO,IL,60607,27,45,12,1475,Consumption on Premises - Incidental Activity,2493098,ISSUE,02/09/2017,05/17/2017,06/15/2019,05/17/2017,AAI,41.886878841,-87.649697253,"(41.88687884128287, -87.64969725329456)"
376257,1,"OXFORD HOTELS AND RESORTS, LLC",THE GODFREY HOTEL CHICAGO,127 W HURON ST 1-16,CHICAGO,IL,60654,42,46,18,1475,Consumption on Premises - Incidental Activity,2233063,RENEW,01/06/2016,02/16/2016,02/15/2018,02/11/2016,AAI,41.894706184,-87.632422292,"(41.894706183704464, -87.63242229170142)"
24200,1,FAUSTO ENTERPRISES INC.,El Sinaloense,2759 S PULASKI RD 1ST,CHICAGO,IL,60623,22,4,10,1471,Late Hour,1535,RENEW,08/13/2018,08/16/2018,08/15/2020,08/13/2018,AAI,41.840660595,-87.724305978,"(41.84066059466386, -87.7243059784339)"
251283,7,3407 PAULINA INC.,WATERHOUSE TAVERN AND GRILL,100 S MICHIGAN AVE,CHICAGO,IL,60603,34,33,1,1476,Special Event Liquor,2602104,ISSUE,06/14/2018,06/14/2018,06/17/2018,06/14/2018,AAI,41.880770665,-87.624483017,"(41.88077066474826, -87.62448301713603)"
423876,1,1913 NORTHCO LLC,PARADISE PARK,1913-1917 W NORTH AVE 1,CHICAGO,IL,60622,1,8,14,1050,Public Place of Amusement,2609724,ISSUE,10/25/2018,11/30/2018,02/15/2021,11/30/2018,AAI,41.910405669,-87.675586571,"(41.91040566941239, -87.67558657129689)"
385349,1,"LACUNA ENTERTAINMENT, LLC",LACUNA ENTERTAINMENT,2150 S CANALPORT AVE 1 AND 5,CHICAGO,IL,60608,25,23,12,1477,Outdoor Patio,2364370,ISSUE,03/13/2015,12/20/2016,12/15/2018,12/20/2016,AAI,41.853301464,-87.649929695,"(41.8533014640748, -87.649929695282)"
266211,1,"CHICAGO STONEHENGE, INC.",SWIG,1469 N MILWAUKEE AVE,CHICAGO,IL,60622,1,21,14,1475,Consumption on Premises - Incidental Activity,1382281,RENEW,10/05/2016,11/16/2016,11/15/2018,10/06/2016,AAI,41.908689503,-87.674604558,"(41.90868950334511, -87.67460455772613)"
63360,1,"ANCIENT EGYPTIAN ARABIC ORDER NOBLES OF THE MYSTIC SHRINE PRINCE HALL AFFILIATED, ARABIC TEMPLE NO. 44, INC.",ARABIC TEMPLE #44 INC,7545-7547 S COTTAGE GROVE AVE 1ST,CHICAGO,IL,60619,8,23,6,1473,Not-For-Profit Club,21908,RENEW,10/13/2016,10/16/2016,10/15/2018,10/13/2016,AAI,41.757246516,-87.605212842,"(41.757246515688706, -87.60521284200343)"
376266,1,"HARPER THEATER, LLC",HARPER THEATER,5238 S HARPER AVE 1,CHICAGO,IL,60615,4,47,2,1050,Public Place of Amusement,2192839,RENEW,03/20/2017,01/16/2017,01/15/2019,03/21/2017,AAI,41.799782687,-87.589247742,"(41.79978268692154, -87.58924774231797)"
35373,1,"HUNGRY BRAIN,INC.",HUNGRY BRAIN,2319 W BELMONT AVE 1,CHICAGO,IL,60618,32,42,19,1472,Music and Dance,44229,RENEW,12/10/2016,12/16/2016,12/15/2018,12/12/2016,AAI,41.939364444,-87.686397637,"(41.939364443955505, -87.68639763702431)"
14400,2,"UNCLE JULIO'S OF ILLINOIS, INC.",UNCLE JULIO'S HACIENDA / SAVAGE BURRITO,855 W NORTH AVE 1,CHICAGO,IL,60642,2,20,18,1477,Outdoor Patio,2231882,RENEW,10/10/2018,11/16/2018,11/15/2020,10/11/2018,AAI,41.91077497,-87.650460847,"(41.910774970068076, -87.65046084745515)"
267111,1,BRE/SWISS LP,Swissotel Chicago,323 E WACKER DR,CHICAGO,IL,60601,42,50,1,1475,Consumption on Premises - Incidental Activity,1447927,RENEW,07/16/2018,09/16/2018,09/15/2020,07/17/2018,AAI,41.887556041,-87.619655093,"(41.887556040948596, -87.61965509328479)"
393697,1,KANELA III LLC,KANELA BREAKFAST CLUB,502 E ILLINOIS ST 1ST,CHICAGO,IL,60611,2,31,18,1475,Consumption on Premises - Incidental Activity,2359088,RENEW,07/14/2017,07/16/2017,07/15/2019,07/17/2017,AAI,41.89120951,-87.615035773,"(41.89120951041896, -87.61503577319365)"
405299,1,"RYUU GROUP, LLC",RYUU ASIAN BBQ,2766 N MILWAUKEE AVE 1ST,CHICAGO,IL,60647,35,28,14,1475,Consumption on Premises - Incidental Activity,2458480,ISSUE,06/24/2016,09/01/2016,09/15/2018,09/01/2016,AAI,41.93137064,-87.711418183,"(41.93137063973293, -87.71141818329198)"
11993,1,"VML, INC.",CUVEE,308 W ERIE ST 1,CHICAGO,IL,60654,42,68,18,1050,Public Place of Amusement,30014,RENEW,01/18/2016,02/16/2016,02/15/2018,03/22/2016,AAI,41.894072904,-87.636065857,"(41.89407290438245, -87.63606585655697)"
7491,2,AXION CORPORATION,Ceres Cafe,141 W JACKSON BLVD 1 A105,CHICAGO,IL,60604,34,9,1,1477,Outdoor Patio,18240,RENEW,03/14/2016,04/16/2016,04/15/2018,03/15/2016,AAI,41.878025655,-87.632062286,"(41.878025655260835, -87.63206228626693)"
403883,1,IPSENTO 606 LLC,IPSENTO COFFEE,1813 N MILWAUKEE AVE,CHICAGO,IL,60647,32,52,14,1475,Consumption on Premises - Incidental Activity,2446723,ISSUE,03/23/2016,05/31/2016,06/15/2018,05/31/2016,AAI,41.914351203,-87.683376777,"(41.91435120295626, -87.6833767767167)"
293315,3,"CLUB 2047, LLC - CONCORD MUSIC HALL",CONCORD MUSIC HALL,"2043-2051 N MILWAUKEE AVE 2,3, & BALCONY",CHICAGO,IL,60647,1,20,14,1050,Public Place of Amusement,1909919,RENEW,12/29/2017,11/16/2017,11/15/2019,12/29/2017,AAI,41.918447569,-87.689825749,"(41.918447569300206, -87.68982574887923)"
407826,1,"BELLA LUNA BAR, INC.",BELLA LUNA BAR,6136 S PULASKI RD LL AND 1,CHICAGO,IL,60629,13,30,8,1050,Public Place of Amusement,2476442,ISSUE,07/12/2016,03/10/2017,03/15/2019,03/10/2017,AAI,41.781158073,-87.722977703,"(41.78115807340603, -87.72297770339657)"
9770,1,"MD'S & WE'RE NOT DOCTORS, INC.",PIZANO'S PIZZA & PASTA,864 N STATE ST  1,CHICAGO,IL,60610,42,45,18,1475,Consumption on Premises - Incidental Activity,24167,RENEW,01/05/2018,02/16/2018,02/15/2020,01/05/2018,AAI,41.898577705,-87.628398274,"(41.89857770509812, -87.62839827393353)"
